id,line,name,lat,lng,google_place_id,google_place_name,google_address,google_lat,google_lng
1,"02호선","용답",37.561904,127.050899,"ChIJCXwU4rGkfDURSBRdYdaAZMQ","용답","서울특별시 사근동",37.562178,127.050853
2,"02호선","신답",37.57004,127.046481,"ChIJQ5I7ZlO7fDURMqj886uZYg0","신답역","서울특별시 용답동",37.5698,127.047095
3,"02호선","신정네거리",37.520074,126.852912,"ChIJdx__RM-dfDURa67HJU8IVy0","신정네거리","서울특별시 신정3동",37.52023399999999,126.852868
4,"03호선","지축",37.648048,126.913951,"ChIJryLtp6mXfDUR_mblanFNFUw","지축","고양시 지축동",37.648124,126.913765
5,"03호선","구파발",37.636763,126.918821,"ChIJpcF3rKOXfDUR14iQQyFJkZo","구파발","서울특별시 진관동",37.63659000000001,126.918852
6,"03호선","연신내",37.619001,126.921008,"ChIJz7pfD4aXfDURW30AD80-GcY","연신내","서울특별시 은평구 구산동 은평 중학교",37.6193201,126.9212136
7,"03호선","불광",37.610469,126.929887,"ChIJTcStXiCYfDURi49wZ8N5qKY","불광","서울특별시 불광1동",37.610079,126.93024
8,"03호선","녹번",37.600927,126.935756,"ChIJIWglzhmYfDUR22eupx3B5f4","녹번","서울특별시 녹번동",37.600879,126.935779
9,"03호선","홍제",37.589066,126.943736,"ChIJLTHHRA2YfDUROqRrG6Mk-x4","홍제","서울특별시 서대문구 홍제3동 통일로 440-1",37.58880200000001,126.944112
10,"03호선","무악재",37.582299,126.950291,"ChIJnY7-QXSYfDUR3uAOC34KhEc","무악재역","서울특별시 서대문구 홍제2동 모래내로 411",37.5824455,126.9501447
11,"03호선","독립문",37.574571,126.957748,"ChIJQcFexpyifDURSTV7gurznMo","독립문","서울특별시 무악동",37.574463,126.957936
12,"03호선","경복궁",37.575762,126.97353,"ChIJieciEpWifDURJ8C1gbw1VvI","경복궁","서울특별시 사직동",37.575879,126.973567
13,"03호선","안국",37.576477,126.985443,"ChIJKY_9RsOifDUROKWSGd77QR4","안국","서울특별시 가회동",37.576565,126.98549
14,"03호선","종로3가",37.571607,126.991806,"ChIJm4u5qeCifDURKoTCTVSt134","종로3가","서울특별시 종로3가",37.570436,126.992148
15,"03호선","을지로3가",37.566295,126.99191,"ChIJAWNsHeSifDUREcuaWDQ1dv8","을지로3가","서울특별시 을지로3가",37.566288,126.991051
