id,line,name,lat,lng,kakao_place_id,kakao_place_name,kakao_address,kakao_road_address,kakao_phone,kakao_place_url,kakao_lat,kakao_lng,kakao_category_group_code,kakao_category_group_name,kakao_category_name
401,"01호선","직산",36.870593,127.143904,"21160561","직산역 1호선","충남 천안시 서북구 직산읍 모시리 58-11","충남 천안시 서북구 직산읍 천안대로 1471-33","041-583-7788","http://place.map.kakao.com/21160561","127.143823728817","36.8709328418739","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권1호선"
402,"01호선","두정",36.833705,127.14896,"7859206","두정역 1호선","충남 천안시 서북구 두정동 84-1","충남 천안시 서북구 두정로 289","041-562-7791","http://place.map.kakao.com/7859206","127.149080841068","36.8335990318913","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권1호선"
403,"01호선","천안",36.810005,127.146826,"7859206","두정역 1호선","충남 천안시 서북구 두정동 84-1","충남 천안시 서북구 두정로 289","041-562-7791","http://place.map.kakao.com/7859206","127.149080841068","36.8335990318913","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권1호선"
404,"01호선","광명",37.416182,126.884466,"21160603","광명역 1호선","경기 광명시 일직동 276-1","경기 광명시 광명역로 21","02-899-9270","http://place.map.kakao.com/21160603","126.884961689119","37.4167362171922","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권1호선"
405,"04호선","산본",37.358101,126.933274,"21160833","산본역 4호선","경기 군포시 산본동 1231","경기 군포시 번영로 504","1544-7788","http://place.map.kakao.com/21160833","126.933046329836","37.3580193085257","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
406,"04호선","대야미",37.328467,126.917332,"21160745","대야미역 4호선","경기 군포시 대야미동 229-1","경기 군포시 대야1로 28","1544-7788","http://place.map.kakao.com/21160745","126.916897519557","37.327965125951","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
407,"04호선","반월",37.312212,126.903524,"10408776","반월역 4호선","경기 안산시 상록구 건건동 산 62-1","경기 안산시 상록구 건건로 119-10","031-438-7788","http://place.map.kakao.com/10408776","126.90382444207","37.3123817631801","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
408,"04호선","상록수",37.302795,126.866489,"21160744","상록수역 4호선","경기 안산시 상록구 본오동 1177","경기 안산시 상록구 상록수로 61","031-407-7788","http://place.map.kakao.com/21160744","126.8666056400078","37.30285235924208","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
409,"04호선","한대앞",37.309689,126.85344,"21160500","한대앞역 4호선","경기 안산시 상록구 이동 211-5","경기 안산시 상록구 충장로 337","031-406-7788","http://place.map.kakao.com/21160500","126.85402320176591","37.309429480381965","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
410,"04호선","중앙",37.315941,126.838573,"21160651","중앙역 4호선","경기 안산시 단원구 고잔동 167-378","경기 안산시 단원구 중앙대로 918","031-485-7788","http://place.map.kakao.com/21160651","126.83883035405907","37.31599451967913","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
411,"04호선","고잔",37.316777,126.823249,"21160832","고잔역 4호선","경기 안산시 단원구 고잔동 453-53","경기 안산시 단원구 중앙대로 784","031-482-7788","http://place.map.kakao.com/21160832","126.82359875532677","37.3167693077138","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
412,"04호선","초지",37.320646,126.805913,"21160650","초지역 4호선","경기 안산시 단원구 초지동 25-1","경기 안산시 단원구 중앙대로 620","1544-7788","http://place.map.kakao.com/21160650","126.80647314589804","37.3204403767323","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
413,"04호선","안산",37.327082,126.788532,"21160743","안산역 4호선","경기 안산시 단원구 원곡동 377-1","경기 안산시 단원구 중앙대로 462","031-491-7790","http://place.map.kakao.com/21160743","126.7892163493839","37.32685867641246","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
414,"04호선","신길온천",37.338212,126.765844,"21160831","신길온천역 4호선","경기 안산시 단원구 신길동 216-2","경기 안산시 단원구 황고개로 2","1544-7788","http://place.map.kakao.com/21160831","126.76752183250063","37.33737450574518","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권4호선"
