id,logicalLine_code,logiclLine_name,longitude,latitude,name,koName,enName,displayCode
"907","9","9호선","126.8544334","37.5614693","가양","가양","Gayang","907"
"20214","22","인천2호선","126.6730298","37.592865","완정","완정","Wanjeong","I205"
"908","9","9호선","126.8606034","37.5581446","증미","증미","Jeungmi","908"
"20213","22","인천2호선","126.6671363","37.5977134","마전","마전","Majeon","I204"
"909","9","9호선","126.8655511","37.5507112","등촌","등촌","Deungchon","909"
"20212","22","인천2호선","126.6566189","37.6017177","검단사거리","검단사거리","Geomdan Sageori","I203"
"20211","22","인천2호선","126.642479","37.5951339","왕길","왕길","Wanggill","I202"
"20210","22","인천2호선","126.6280074","37.5948489","검단오류(검단산업단지)","검단오류(검단산업단지)","Geomdan Oryu","I201"
"20219","22","인천2호선","126.6768373","37.5439103","서구청","서구청","Seo-gu Office","I210"
"20218","22","인천2호선","126.677103","37.5513036","아시아드경기장(공촌사거리)","아시아드경기장(공촌사거리)","Asiad Stadium","I209"
"20217","22","인천2호선","126.677519","37.5611734","검바위","검바위","Geombawi","I208"
"20216","22","인천2호선","126.6756595","37.5687033","검암","검암","Geomam","I207"
"20215","22","인천2호선","126.6759863","37.5849123","독정","독정","Dokjeong","I206"
"910","9","9호선","126.8748564","37.5469769","염창","염창","Yeomchang","910"
"911","9","9호선","126.8830837","37.5443618","신목동","신목동","Sinmokdong","911"
"912","9","9호선","126.8939268","37.5378654","선유도","선유도","Seonyudo","912"
"913","9","9호선","126.9026457","37.5335448","당산","당산","Dangsan","913"
"914","9","9호선","126.9177648","37.5282423","국회의사당","국회의사당","National Assembly","914"
"915","9","9호선","126.9240343","37.5217637","여의도","여의도","Yeouido","915"
"916","9","9호선","126.9288896","37.5167454","샛강","샛강","Saetgang","916"
"917","9","9호선","126.9410644","37.5135814","노량진","노량진","Noryangjin","917"
"918","9","9호선","126.9532132","37.5126946","노들","노들","Nodeul","918"
"20225","22","인천2호선","126.6838328","37.4841058","가재울","가재울","Gajaeul","I216"
"919","9","9호선","126.9633951","37.5091825","흑석","흑석","Heukseok","919"
"20224","22","인천2호선","126.6752463","37.4900531","인천가좌","인천가좌","Incheon Gajwa","I215"
"20223","22","인천2호선","126.6758569","37.5003027","서부여성회관","서부여성회관","West Woman’s Community Center","I214"
"20222","22","인천2호선","126.6762655","37.5071618","석남(거북시장)","석남(거북시장)","Seongnam","I213"
"20221","22","인천2호선","126.6768155","37.5174714","가정중앙시장","가정중앙시장","Gajeong Jungang Market","I212"
"20220","22","인천2호선","126.6753548","37.524725","가정(루원시티)","가정(루원시티)","Gajeong","I211"
"20229","22","인천2호선","126.6921913","37.4576958","석바위시장","석바위시장","Seokbawi Market","I220"
"20228","22","인천2호선","126.6810909","37.4583909","시민공원(문화창작지대)","시민공원(문화창작지대)","Citizens Park","I219"
"20227","22","인천2호선","126.6791041","37.4654372","주안","주안","Juan","I218"
"20226","22","인천2호선","126.6812163","37.4739745","주안국가산단(인천J밸리)","주안국가산단(인천J밸리)","Juan National Industrial Complex","I217"
"11515","115","김포골드라인","126.6838489","37.6538667","운양","운양","Unyang","G104"
"11514","115","김포골드라인","126.6691099","37.6441705","장기","장기","Janggi","G103"
"11517","115","김포골드라인","126.7198386","37.6203107","사우(김포시청)","사우(김포시청)","Sau(Gimpo City Hall)","G106"
"11516","115","김포골드라인","126.7057322","37.6316502","걸포북변","걸포북변","Geolpo Bukbyeon","G105"
"11519","115","김포골드라인","126.7702144","37.6013994","고촌","고촌","Gochon","G108"
"11518","115","김포골드라인","126.7326928","37.6122941","풍무","풍무","Pungmu","G107"
"920","9","9호선","126.9777743","37.5031333","동작","동작","Dongjak","920"
"921","9","9호선","126.9874422","37.5014384","구반포","구반포","Gubanpo","921"
"922","9","9호선","126.9960331","37.5034962","신반포","신반포","Sinbanpo","922"
"923","9","9호선","127.0043179","37.5060026","고속터미널","고속터미널","Express Bus Terminal","923"
"924","9","9호선","127.0150731","37.5043808","사평","사평","Sapyeong","924"
"925","9","9호선","127.0245209","37.5044636","신논현","신논현","Sinnonhyeon","925"
"11511","115","김포골드라인","126.6148276","37.6416449","양촌","양촌","Yangchon","G100"
"926","9","9호선","127.0339087","37.5073234","언주","언주","Eonju","926"
"927","9","9호선","127.043412","37.5101377","선정릉","선정릉","Seonjeongneung","927"
"11513","115","김포골드라인","126.6445072","37.6408135","마산","마산","Masan","G102"
"928","9","9호선","127.0529321","37.5129462","삼성중앙","삼성중앙","Samseong Jungang","928"
"11512","115","김포골드라인","126.6287076","37.6453969","구래","구래","Gurae","G101"
"929","9","9호선","127.0602304","37.5142495","봉은사","봉은사","Bongeunsa","929"
"930","9","9호선","127.0764306","37.5113717","종합운동장","종합운동장","Sports Complex","930"
"810","8","8호선","127.127537","37.5501577","암사","암사","Amsa","810"
"931","9","9호선","127.087432","37.5044913","삼전","삼전","Samjeon","931"
"811","8","8호선","127.123252","37.5380164","천호","천호","Cheonho","811"
"932","9","9호선","127.0970008","37.5024736","석촌고분","석촌고분","Seokchon Gobun","932"
"812","8","8호선","127.1205474","37.5305204","강동구청","강동구청","Gangdong-gu Office","812"
"933","9","9호선","127.1072226","37.5051892","석촌","석촌","Seokchon","933"
"813","8","8호선","127.1127749","37.5176625","몽촌토성","몽촌토성","Mongchontoseong","813"
"934","9","9호선","127.1122348","37.5102974","송파나루","송파나루","Sonpanaru","934"
"814","8","8호선","127.1046659","37.5147742","잠실","잠실","Jamsil","814"
"935","9","9호선","127.1162476","37.5164209","한성백제","한성백제","Hanseong Baekjae","935"
"815","8","8호선","127.1066681","37.5057994","석촌","석촌","Seokchon","815"
"936","9","9호선","127.1303441","37.5162427","올림픽공원","올림픽공원","Olympic Park","936"
"816","8","8호선","127.1122763","37.4996787","송파","송파","Songpa","816"
"937","9","9호선","127.1387274","37.5192709","둔촌오륜","둔촌오륜","Dunchon Oryun","937"
"817","8","8호선","127.1183096","37.4929616","가락시장","가락시장","Garak Market","817"
"938","9","9호선","127.1485418","37.5288331","중앙보훈병원","중앙보훈병원","VHS Medical Center","938"
"818","8","8호선","127.122474","37.4859725","문정","문정","Munjeong","818"
"819","8","8호선","127.1261965","37.4786789","장지","장지","Jangji","819"
"820","8","8호선","127.1267775","37.4712088","복정","복정","Bokjeong","820"
"821","8","8호선","127.1501097","37.4566304","산성","산성","Sanseong","821"
"822","8","8호선","127.1598367","37.4515477","남한산성입구","남한산성입구","Namhansanseong","822"
"823","8","8호선","127.156872","37.445188","단대오거리","단대오거리","Dandaeogeori","823"
"824","8","8호선","127.1475088","37.4409557","신흥","신흥","Sinheung","824"
"825","8","8호선","127.1403863","37.4372518","수진","수진","Sujin","825"
"826","8","8호선","127.1302584","37.4339563","모란","모란","Moran","826"
"709","7","7호선","127.0531004","37.7002605","장암","장암","Jangam","709"
"710","7","7호선","127.0464866","37.6895103","도봉산","도봉산","Dobongsan","710"
"711","7","7호선","127.055316","37.6778581","수락산","수락산","Suraksan","711"
"712","7","7호선","127.0576351","37.6653828","마들","마들","Madeul","712"
"713","7","7호선","127.0605231","37.6546928","노원","노원","Nowon","713"
"714","7","7호선","127.0641099","37.645112","중계","중계","Junggye","714"
"715","7","7호선","127.0679542","37.6365682","하계","하계","Hagye","715"
"716","7","7호선","127.0729311","37.625768","공릉","공릉","Gongneung","716"
"717","7","7호선","127.075356","37.6184825","태릉입구","태릉입구","Taereung","717"
"718","7","7호선","127.0777293","37.6107885","먹골","먹골","Meokgol","718"
"719","7","7호선","127.0793076","37.6025816","중화","중화","Junghwa","719"
"1394","104","경의중앙선","127.4738037","37.5061295","오빈","오빈","Obin","K134"
"1390","104","경의중앙선","127.0850533","37.5968152","상봉","상봉","Sangbong","K120"
"720","7","7호선","127.0856711","37.5959203","상봉","상봉","Sangbong","720"
"721","7","7호선","127.0875071","37.5887804","면목","면목","Myeonmok","721"
"722","7","7호선","127.0885223","37.5809731","사가정","사가정","Sagajeong","722"
"723","7","7호선","127.0868462","37.573796","용마산","용마산","Yongmasan","723"
"724","7","7호선","127.0840955","37.5655455","중곡","중곡","Junggok","724"
"725","7","7호선","127.0795404","37.5572264","군자","군자","Gunja","725"
"726","7","7호선","127.074609","37.5479134","어린이대공원","어린이대공원","Children's Grand Park","726"
"727","7","7호선","127.0710966","37.5408717","건대입구","건대입구","Konkuk Univ.","727"
"728","7","7호선","127.0667058","37.531551","뚝섬유원지","뚝섬유원지","Ttukseom Park","728"
"729","7","7호선","127.053925","37.5194891","청담","청담","Cheongdam","729"
"730","7","7호선","127.0412886","37.5171878","강남구청","강남구청","Gangnam-gu Office","730"
"610","6","6호선","126.9156008","37.5984852","응암","응암","Eungam","610"
"731","7","7호선","127.0316189","37.5142512","학동","학동","Hak-dong","731"
"611","6","6호선","126.9227908","37.6061227","역촌","역촌","Yeokchon","611"
"732","7","7호선","127.0213562","37.5111354","논현","논현","Nonhyeon","732"
"612","6","6호선","126.9296543","37.6110424","불광","불광","Bulgwang","612"
"733","7","7호선","127.0117412","37.5082214","반포","반포","Banpo","733"
"613","6","6호선","126.9330601","37.6183908","독바위","독바위","Dokbawi","613"
"734","7","7호선","127.0045239","37.5034708","고속터미널","고속터미널","Express Bus Terminal","734"
"614","6","6호선","126.9204314","37.6185586","연신내","연신내","Yeonsinnae","614"
"735","7","7호선","126.9935034","37.4876246","내방","내방","Naebang","735"
"615","6","6호선","126.9173219","37.6113864","구산","구산","Gusan","615"
"736","7","7호선","126.9820675","37.4853856","이수","이수","Isu","736"
"616","6","6호선","126.9136065","37.5910546","새절","새절","Saejeol","616"
"737","7","7호선","126.9710516","37.4847491","남성","남성","Namseong","737"
"617","6","6호선","126.9096966","37.5839486","증산","증산","Jeungsan","617"
"738","7","7호선","126.9539906","37.4958606","숭실대입구","숭실대입구","Soongsil Univ.","738"
"618","6","6호선","126.9012173","37.5764222","디지털미디어시티","디지털미디어시티","Digital Media City","618"
"739","7","7호선","126.9482164","37.5025521","상도","상도","Sangdo","739"
"619","6","6호선","126.899273","37.569657","월드컵경기장","월드컵경기장","World Cup Stadium","619"
"1175","1","1호선","126.8847911","37.4164812","광명","광명","Gwangmyeong","P144-1"
"740","7","7호선","126.9389885","37.5048284","장승배기","장승배기","Jangseungbaegi","740"
"620","6","6호선","126.903444","37.5634062","마포구청","마포구청","Mapo-gu Office","620"
"741","7","7호선","126.9281967","37.4997369","신대방삼거리","신대방삼거리","Sindaebangsamgeori","741"
"621","6","6호선","126.9101054","37.5560681","망원","망원","Mangwon","621"
"742","7","7호선","126.9199165","37.4999564","보라매","보라매","Boramae","742"
"622","6","6호선","126.9135421","37.5492319","합정","합정","Hapjeong","622"
"743","7","7호선","126.9096316","37.5001373","신풍","신풍","Sinpung","743"
"623","6","6호선","126.9223054","37.5477659","상수","상수","Sangsu","623"
"744","7","7호선","126.8967199","37.4928412","대림","대림","Daerim","744"
"624","6","6호선","126.9319509","37.5474807","광흥창","광흥창","Gwangheungchang","624"
"745","7","7호선","126.8872865","37.4861038","남구로","남구로","Namguro","745"
"625","6","6호선","126.9424666","37.5476314","대흥","대흥","Daeheung","625"
"746","7","7호선","126.8826081","37.4803789","가산디지털단지","가산디지털단지","Gasan Digital Complex","746"
"626","6","6호선","126.9519689","37.5435148","공덕","공덕","Gongdeok","626"
"747","7","7호선","126.8682488","37.4761873","철산","철산","Cheolsan","747"
"627","6","6호선","126.9614375","37.5392738","효창공원앞","효창공원앞","Hyochang Park","627"
"748","7","7호선","126.854892","37.4792859","광명사거리","광명사거리","Gwangmyeongsageori","748"
"628","6","6호선","126.9740193","37.5355916","삼각지","삼각지","Samgakji","628"
"749","7","7호선","126.8387255","37.4867556","천왕","천왕","Cheonwang","749"
"629","6","6호선","126.9868953","37.5345855","녹사평(용산구청)","녹사평(용산구청)","Noksapyeong","629"
"1187","1","1호선","127.0519094","37.1956888","서동탄","서동탄","Seodongtan","P157-1"
"1181","1","1호선","126.9483897","37.3433914","당정","당정","Dangjeong","P151"
"11229","112","경강선","127.4903344","37.2604214","부발","부발","Bubal","K418"
"11228","112","경강선","127.4420972","37.2642256","이천","이천","Icheon","K417"
"750","7","7호선","126.8234649","37.4920594","온수","온수","Onsu","750"
"630","6","6호선","126.9945905","37.5345416","이태원","이태원","Itaewon","630"
"751","7","7호선","126.8109685","37.5062533","까치울","까치울","Kkachiul","751"
"11109","116","수인분당선","126.9802893","37.2496683","고색","고색","Gosaek","K246"
"510","5","5호선","126.812818","37.5776046","방화","방화","Banghwa","510"
"631","6","6호선","127.0018016","37.5398285","한강진","한강진","Hangangjin","631"
